transactionAmount,timeOfDay,transactionFrequency,dayOfWeek,labels
35.1,1,3,3,0
218.12,5,8,7,0
24.15,1,7,6,0
10.96,10,9,3,0
15.44,20,6,3,0
42.73,1,3,2,0
319.02,3,11,7,1
117.84,3,4,2,0
252.22,0,6,7,1
158.64,20,10,3,0
293.3,5,11,7,1
170.96,5,12,6,1
50.94,5,8,2,0
187.59,22,10,5,0
75.72,22,1,5,0
116.68,14,2,3,0
96.54,23,4,1,0
27.01,8,3,3,0
217.52,21,5,6,0
302.92,10,9,1,0
72.48,5,9,1,0
160.37,22,6,5,0
451.17,0,11,4,1
277.37,1,2,4,0
86.51,20,8,3,0
5.11,16,3,5,0
58.26,14,6,6,0
240.22,17,8,2,0
36.77,6,3,6,0
70.75,14,2,3,0
227.08,19,1,4,0
106.6,1,2,6,0
96.02,0,17,2,1
134.8,3,12,7,1
178.84,14,3,5,0
309.41,5,9,5,1
162.71,4,14,2,1
312.14,0,13,5,1
159.07,20,5,2,0
36.42,10,2,6,0
294.58,4,12,1,1
46.48,21,5,2,0
249.87,1,6,4,1
409.52,0,9,5,1
4.43,21,2,4,0
54.6,1,16,7,1
17.14,14,2,7,0
31.44,12,5,4,0
192.62,-99,3,6,0
48.17,20,4,4,0
44.19,6,7,5,0
97.15,21,6,2,0
47.63,13,2,1,0
125.89,2,5,7,0
101.87,5,4,6,0
119.97,14,8,2,0
306.29,3,9,5,1
60.04,0,17,3,1
51.48,3,6,2,0
159.43,20,6,-99,0
72.35,14,3,3,0
107.01,0,7,1,1
104.07,8,5,3,0
128.3,14,10,7,0
106.36,14,2,6,0
143.34,14,3,5,0
142.29,1,9,3,0
229.95,18,7,2,0
121.3,3,6,-99,1
121.89,5,7,4,1
181.6,4,5,2,0
67.18,18,7,2,0
21.46,0,8,7,0
211.18,7,9,2,0
49.25,22,7,1,0
189.87,14,3,2,0
71.52,1,18,6,1
245.24,14,8,5,0
144.69,19,4,4,0
164.58,21,4,6,0
84.91,1,13,4,1
40.48,2,2,3,0
261.13,17,7,1,0
65.1,10,3,7,0
116.42,3,9,2,0
63.66,14,4,5,0
158.14,0,8,7,0
201.33,3,4,2,1
143.29,18,5,7,0
127.53,5,11,5,1
8.54,7,4,1,0
268.08,0,2,6,0
117.64,23,7,7,0
107.14,13,8,4,0
121.11,7,3,5,0
41.72,22,5,1,0
101.82,12,10,7,0
318.19,2,18,3,1
1.3,0,18,1,1
268.62,6,6,6,0
-99,7,9,7,0
9.71,8,10,6,0
293.02,5,1,1,0
322.67,5,11,1,1
165.73,16,6,5,0
46.34,1,8,3,0
185.39,23,1,7,0
158.05,18,4,7,0
8.14,19,3,7,0
234.29,1,-99,6,1
151.75,1,5,7,0
149.46,11,7,3,0
166.39,10,5,1,0
28.98,16,7,7,0
30.68,10,6,3,0
25.84,16,5,3,0
100.8,2,11,5,1
60.83,16,2,5,0
184.17,14,4,3,0
146.54,5,12,3,1
131.47,18,-99,1,0
178.98,18,7,4,0
19.88,21,6,2,0
67.43,5,4,6,0
128.47,4,7,5,0
230.96,9,2,1,0
116.04,7,1,7,0
111.82,19,8,6,0
170.71,14,5,2,0
4.34,18,7,1,0
437,1,10,4,1
85.91,5,11,3,1
247.97,2,4,4,0
169.91,8,7,5,0
115.91,4,2,6,0
5.45,19,2,1,0
101.65,3,10,-99,1
104.92,16,7,3,0
135.88,11,8,7,0
65.93,2,2,6,0
4.19,5,7,4,0
122.57,11,4,5,0
121.77,4,7,2,0
1.59,2,10,2,1
1.28,17,6,2,0
221.53,17,2,3,0
115.63,7,1,1,0
59.97,20,5,4,0
55.82,10,2,5,0
144.81,20,7,1,0
66.46,15,6,3,0
279.02,3,12,1,1
154.96,4,4,4,0
239.23,12,10,5,0
152.09,3,15,5,1
98.74,7,5,6,0
177.36,20,8,2,0
262.92,21,6,5,0
41,7,-99,3,0
74.73,16,5,1,0
221.32,0,4,3,1
93.99,1,4,1,0
143.89,21,1,7,0
120.12,4,5,6,0
41.67,20,3,1,0
176.48,16,6,6,0
114.08,8,1,3,0
62.71,3,6,7,0
110.55,15,3,4,0
227.06,20,6,7,0
149.91,19,8,2,0
60.3,15,5,3,0
79,22,7,3,0
73.31,14,3,1,0
-99,4,10,3,0
56.58,10,3,5,0
146.45,8,10,4,0
12.14,23,3,7,0
-99,9,5,2,0
197.72,1,19,-99,1
259.62,5,18,3,1
146.69,4,8,4,0
111.21,1,5,2,0
249.65,8,8,2,0
41.35,2,10,7,0
71.89,15,5,3,0
265.58,2,11,5,1
56.22,2,9,1,1
175.67,22,4,1,0
262.97,3,5,1,0
37.5,9,9,6,0
5.2,11,2,1,0
147.75,13,8,4,0
222.22,18,6,2,0
-99,11,7,2,0
177.09,0,4,7,1
127.91,6,2,5,0
175.21,-99,3,7,0
73.97,0,1,5,0
97.4,19,7,1,0
109.67,4,9,3,0
114.41,16,6,1,0
285.62,8,6,3,0
210.03,23,7,4,0
63.59,2,4,5,0
147.2,4,4,2,0
41.46,1,14,4,1
47.64,14,9,3,0
149.59,2,8,4,1
111.89,1,13,2,1
40.48,5,8,2,0
362.9,3,4,6,0
181.95,4,1,3,0
44.34,21,2,5,0
50.03,20,2,4,0
230.58,3,13,7,1
80.27,11,7,7,0
198.84,19,9,4,0
63.92,11,10,2,0
213.27,8,4,5,0
140.9,6,8,5,0
181.91,22,3,5,0
287.02,4,8,7,1
495.76,5,10,6,1
88.6,6,5,5,0
111.8,-99,3,5,0
199.97,9,4,2,0
64.23,7,2,5,0
94.5,17,10,6,0
124.15,4,6,7,0
173.52,2,10,7,0
119.35,20,8,4,0
85.46,17,5,2,0
245.46,14,8,3,0
60.33,5,7,7,0
291.23,5,13,4,1
125.19,15,6,6,0
38.14,7,8,5,0
197.63,1,4,4,0
113.1,21,1,3,0
63.56,11,3,4,0
90.67,18,8,1,0
148.98,-99,10,7,0
240.14,14,7,4,0
72.58,10,2,1,0
333.12,3,16,6,1
119.06,3,6,1,0
167.04,5,8,1,0
120.84,1,9,4,0
132.79,7,10,7,0
101.7,2,15,1,1
133.19,14,9,1,0
228.04,2,17,7,1
137.97,0,8,6,0
223.43,5,19,6,1
199.49,12,10,4,0
120.86,5,10,3,0
246.41,1,8,3,1
150.6,4,1,5,0
87.22,20,9,6,0
74.51,23,6,6,0
92.2,21,6,5,0
59.93,3,16,4,1
97.86,1,5,3,1
140.13,13,9,3,0
87.06,19,1,3,0
232.77,11,7,3,0
167.08,14,6,5,0
30.83,18,7,6,0
95.08,2,4,5,0
67.33,12,3,2,0
130.32,8,6,2,0
305.65,14,9,6,0
286.83,4,11,7,1
151.07,9,7,1,0
81.23,9,5,2,0
41.06,18,10,6,0
214.33,15,8,6,0
182.92,2,13,2,1
116.33,2,8,4,1
110.34,9,6,5,0
126.45,3,9,6,0
105.48,10,3,4,0
122.13,8,2,3,0
109.1,5,2,3,0
84.99,22,4,2,0
43.87,16,9,1,0
79.92,14,3,5,0
22.11,0,17,5,1
9.74,13,7,5,0
304.13,1,10,1,1
26.48,22,1,4,0
247.59,20,8,1,0
150.58,4,3,4,0
169.27,6,4,7,0
113.49,1,4,4,0
163.06,4,12,3,1
83.24,5,1,6,0
124.04,0,15,7,1
230.91,0,7,3,1
38.27,5,19,6,1
67.57,12,6,7,0
234.11,2,4,1,0
221.37,9,2,4,0
114.31,0,15,6,1
11.64,8,10,3,0
7.79,13,4,4,0
343.3,0,11,6,1
115.35,9,3,1,0
9.6,16,10,3,0
6.17,16,8,4,0
143.39,16,7,2,0
84.68,13,10,6,0
273.07,2,6,6,1
63.2,2,17,7,1
95.77,22,7,4,0
106.77,14,8,1,0
95.27,23,6,7,0
30.31,10,9,6,0
145.75,17,7,4,0
107.93,0,2,6,0
147.96,18,7,7,0
136.04,12,3,6,0
144.4,0,10,4,0
67.5,6,2,5,0
109.72,12,3,6,0
358.16,4,6,5,1
15.71,1,5,-99,0
52.43,13,6,5,0
152.26,19,6,4,0
493.8,4,15,2,1
101.65,22,4,1,0
190.25,1,-99,2,0
215.48,6,9,5,0
187.25,22,6,7,0
53.08,18,7,6,0
159.65,14,-99,1,0
183.61,19,5,1,0
130.45,21,7,6,0
215.53,23,2,2,0
57.15,23,1,2,0
263.65,3,2,-99,0
211.09,0,10,1,1
41.46,1,1,1,0
-99,0,7,2,0
260.79,5,6,4,1
34.92,2,3,6,0
192.69,20,5,6,0
81.19,16,2,7,0
164.33,5,9,4,1
453.49,1,7,5,1
19,8,10,4,0
7.16,6,7,1,0
230.96,21,4,1,0
111.53,-99,1,2,0
763.8,3,8,7,1
127.41,11,5,5,0
111.57,6,10,2,0
32.6,0,8,5,1
29.03,21,7,5,0
51.31,18,7,1,0
13.7,7,2,3,0
227.22,19,6,6,0
14.41,7,8,1,0
20.58,3,11,7,1
257.82,22,7,7,0
157.86,23,1,6,0
157.86,12,1,1,0
42.28,22,1,4,0
80.96,21,5,5,0
118.6,12,10,7,0
248.4,8,5,1,0
32.05,17,1,6,0
177.23,1,12,2,1
14.05,14,6,5,0
230.64,23,4,6,0
91.37,18,10,6,0
115.04,8,10,3,0
102.52,2,3,5,0
13.56,4,3,3,0
171.5,12,6,7,0
115.35,1,11,6,1
4.45,19,4,3,0
113.56,22,6,7,0
163.8,4,2,6,0
63.3,20,2,7,0
323.69,4,17,2,1
105.64,23,2,3,0
141.62,2,4,1,1
283.6,1,7,3,0
167.54,0,1,3,0
54.58,7,1,5,0
135.36,1,3,4,0
265.51,3,12,6,1
283.46,0,12,2,1
13.7,22,9,-99,0
22.5,0,11,3,1
22.32,6,4,4,0
81.44,12,7,3,0
72.05,15,2,7,0
115.18,2,9,2,0
181.65,18,7,3,0
413.06,-99,4,2,1
507.99,3,11,3,1
241.47,4,18,3,1
179.86,9,5,5,0
260.07,5,12,2,1
218.61,2,9,2,0
108.49,5,2,6,0
42.5,23,10,7,0
45.41,6,1,1,0
80.93,21,1,2,0
46.29,21,3,1,0
86.19,22,9,5,0
0.56,3,5,2,0
173.33,21,7,5,0
269.24,15,2,2,0
71.66,5,2,6,0
212.21,8,6,3,0
69.31,3,8,5,0
83.15,10,5,2,0
91.87,2,9,3,0
96.23,3,7,3,0
309.14,4,3,5,0
99.35,2,4,5,1
395.76,13,4,6,0
68.74,20,8,2,0
235.82,4,19,6,1
46.94,15,9,5,0
158.7,2,5,4,1
69.59,12,5,5,0
106.05,20,7,1,0
14.76,23,6,2,0
299.39,0,4,-99,0
192.09,6,2,5,0
262.27,5,8,2,0
51.25,1,1,3,0
19.56,0,9,4,0
41.95,11,9,7,0
146.82,1,8,1,0
232.99,6,5,6,0
330.47,15,7,7,0
185.14,7,4,2,0
67.07,2,10,7,1
420.13,14,8,3,0
66.95,9,2,6,0
-99,16,4,4,0
0.61,11,4,5,0
87.17,15,4,2,0
380.96,5,7,5,1
63.24,6,1,2,0
14.82,3,7,4,0
207.74,22,3,4,0
55.99,19,5,6,0
427.69,1,15,4,1
110.38,4,4,6,0
22.69,22,4,3,0
274.74,4,4,3,1
30.32,6,1,6,0
190.99,2,7,3,1
102.6,13,6,4,0
441.69,2,7,5,1
12.96,10,3,6,0
165.42,4,3,5,0
241.92,22,9,3,0
17.44,11,2,2,0
105.31,23,6,5,0
14.41,15,6,7,0
483.79,2,10,1,1
315.47,4,9,4,1
143.1,3,10,7,0
77.12,15,6,4,0
139.4,15,7,4,0
47.41,10,5,1,0
144.7,1,7,4,0
115.52,11,7,5,0
16.59,11,2,-99,0
205.23,4,10,7,1
393.58,5,12,2,1
281.57,5,5,5,1
41,5,4,2,0
83.73,16,3,1,0
310.98,23,9,2,0
246.26,4,4,3,0
191.41,19,3,4,0
251.21,5,5,2,0
54.58,1,7,6,0
13.94,3,-99,6,0
29.45,22,2,6,0
66.89,21,7,6,0
52.08,6,8,2,0
116.53,22,7,2,0
171.27,4,15,1,1
158.7,10,2,3,0
30.72,0,13,1,1
137.1,-99,10,5,0
26.01,3,2,7,0
122.29,0,3,6,0
58.69,6,6,1,0
135.4,1,6,1,1
67.4,16,7,3,0
128.35,13,1,7,0
98.84,7,2,3,0
103.63,18,8,6,0
9.83,3,10,6,0
137.57,5,10,5,0
117.01,7,10,3,0
467.76,4,5,2,1
532.3,1,9,7,1
133.82,20,1,1,0
81.9,2,6,2,0
19.77,16,9,3,0
58.86,3,13,7,1
76.57,0,8,5,0
69.48,13,2,2,0
312.22,0,11,2,1
82.42,0,7,7,1
231.85,8,1,6,0
153.24,0,5,1,0
160.16,19,6,7,0
399.56,3,18,5,1
120.82,20,1,4,0
94.24,16,3,5,0
206.52,19,2,1,0
38.75,21,4,3,0
132.86,1,10,1,1
435.11,0,15,-99,1
91,12,4,3,0
213.29,3,17,4,1
11.22,16,8,3,0
22.39,12,9,6,0
162.92,19,2,1,0
31.58,12,6,2,0
189.87,19,3,5,0
17.49,6,9,6,0
234.11,0,5,5,1
102.53,23,2,6,0
-99,17,4,1,0
82.79,6,5,2,0
117.64,3,6,1,1
84.69,22,1,4,0
101.71,1,2,7,0
182.78,2,4,1,0
169.89,14,10,4,0
0.62,5,3,1,0
124.42,18,8,5,0
110.23,13,3,2,0
222.83,4,6,5,1
200.58,2,1,2,0
165.92,2,2,6,0
283.62,1,11,2,1
83.01,-99,8,3,0
72.83,1,18,2,1
162.88,8,4,6,0
34.07,2,10,4,1
218.77,4,9,7,0
216.4,21,9,1,0
143.79,22,4,4,0
176.44,23,1,6,0
117.21,17,1,7,0
36.4,9,8,5,0
126.36,17,3,2,0
112.29,2,13,6,1
67.65,7,2,1,0
123.89,14,9,6,0
33.15,14,6,6,0
154.22,21,6,4,0
26.51,6,3,4,0
161.64,18,6,7,0
77.12,22,1,1,0
182.1,0,3,1,0
84.48,11,4,2,0
30.83,15,3,4,0
381.97,3,7,-99,1
18.01,4,6,3,0
128.78,20,8,3,0
144.93,8,10,2,0
46.39,21,5,6,0
36.35,1,16,3,1
60.98,3,7,4,1
9.29,23,2,6,0
51.1,14,2,5,0
8.12,10,8,3,0
103.17,4,8,2,0
163.9,15,2,3,0
213.59,0,5,4,0
21.44,7,6,7,0
1.22,7,2,2,0
0.84,14,8,2,0
252.12,15,7,2,0
166.33,20,7,2,0
107.12,22,8,1,0
41.56,15,10,3,0
201.46,13,6,2,0
77.31,9,9,7,0
164.41,23,5,6,0
120.09,3,7,1,0
97.1,21,10,6,0
0.77,7,7,1,0
298.36,13,4,6,0
6.04,16,7,5,0
60.95,5,4,1,0
78.02,4,4,7,0
72.26,12,7,7,0
11.99,19,2,6,0
158.39,16,5,3,0
63.61,2,10,2,0
141.67,21,4,7,0
228.68,11,2,6,0
40.39,22,5,1,0
144.42,13,9,3,0
244.09,2,9,6,0
189.37,4,18,4,1
151.6,20,1,2,0
76.79,16,3,6,0
247.1,2,16,2,1
161.25,7,2,1,0
60.8,12,5,2,0
171.08,15,8,7,0
89.48,14,2,5,0
235.83,5,7,2,0
8.82,10,5,5,0
85.04,5,2,5,0
59.89,20,9,5,0
42.24,23,2,1,0
300.39,1,7,2,0
49.04,17,8,7,0
108.89,7,6,6,0
98.03,15,7,2,0
26.19,6,2,3,0
15.22,15,4,4,0
94.76,8,6,6,0
102.63,7,4,2,0
17.41,21,-99,1,0
28.2,22,9,3,0
94.1,14,2,7,0
198.75,5,10,2,0
66.31,22,4,1,0
472.84,4,19,1,1
225.33,1,13,3,1
127.32,5,8,1,0
137.67,19,6,5,0
377.71,4,7,5,1
-99,15,4,4,0
109.42,17,2,6,0
164.38,17,4,4,0
21.7,9,3,5,0
114.86,18,1,2,0
7.92,21,3,6,0
219.11,14,2,4,0
198.09,2,9,5,0
27.66,3,1,4,0
333.44,2,2,4,0
155.12,4,8,1,0
190.25,3,10,4,0
122.71,18,3,1,0
71.99,1,9,1,1
173.01,3,18,4,1
332.49,4,13,5,1
406.81,23,4,3,0
38.11,14,5,2,0
175.75,23,6,6,0
202.86,1,4,7,0
105.28,22,9,6,0
121.09,7,8,1,0
215.25,19,10,6,0
94.78,0,12,1,1
151.56,20,10,4,0
196.22,11,5,7,0
138.72,22,7,2,0
77.48,6,8,1,0
189.62,1,14,6,1
91.6,14,4,7,0
330.16,1,12,3,1
229.01,2,11,2,1
17.46,17,8,2,0
43.19,13,10,7,0
27.63,11,10,5,0
0.9,6,2,7,0
232.61,2,10,3,1
108.52,5,8,1,0
57.2,5,8,4,0
40.36,19,7,2,0
25.44,12,9,4,0
164.29,1,3,4,0
80.69,18,4,3,0
87.42,12,5,3,0
111.15,3,10,1,1
337.97,4,8,3,1
74.71,9,7,3,0
60.5,23,3,5,0
213.98,0,9,7,1
32.15,22,10,4,0
83.43,22,4,1,0
49.08,9,1,7,0
148.92,5,9,6,0
361.81,5,13,3,1
84.78,4,1,3,0
183.9,19,9,7,0
93.36,6,5,3,0
253.35,3,17,5,1
38.55,21,5,7,0
88.68,21,1,1,0
175.22,12,3,3,0
285.62,2,13,2,1
277.15,8,8,7,0
102.57,23,2,4,0
352.94,1,8,1,1
361.36,0,11,6,1
261.55,0,11,5,1
132.24,23,2,5,0
331.2,11,1,7,0
102.59,17,8,7,0
49,15,10,6,0
239.05,17,8,2,0
45.76,1,8,1,0
166.63,22,7,2,0
122.47,22,8,2,0
-99,13,1,4,0
270.7,3,13,5,1
165.03,6,7,4,0
72.61,14,-99,1,0
260.37,9,7,3,0
45.38,15,2,7,0
48.97,7,10,5,0
309.87,19,10,3,0
202.18,1,1,5,0
79.6,1,2,2,0
14.9,1,3,1,0
147.78,0,17,4,1
92.93,9,9,3,0
66.16,22,6,4,0
272.55,2,2,7,0
198.11,15,5,5,0
98.16,12,2,6,0
230.02,8,10,1,0
71.8,4,8,-99,0
124.25,5,6,3,0
72.64,1,5,5,0
101.84,17,1,3,0
53.74,15,4,3,0
354.13,10,2,7,0
57.4,17,8,1,0
30.51,2,6,2,0
317.65,4,9,2,1
88.2,20,3,5,0
138.91,15,-99,5,0
127.07,0,10,6,1
101.47,9,4,3,0
247.67,11,3,6,0
125.32,22,7,5,0
165.35,20,1,5,0
83.49,11,4,6,0
91.42,2,16,5,1
44.07,21,10,3,0
111.22,5,14,1,1
87.08,15,3,5,0
52.68,17,3,4,0
19.51,-99,2,5,0
70.53,22,9,3,0
171.19,20,3,4,0
68.28,13,8,2,0
234.56,20,3,5,0
143.16,20,1,1,0
70.98,19,8,7,0
180.48,3,8,2,0
134.95,12,1,3,0
32.51,21,4,7,0
215.98,18,10,7,0
96.16,10,2,6,0
50.23,23,1,3,0
173.39,1,16,7,1
221.56,4,12,6,1
48.6,22,2,5,0
204.98,19,6,7,0
244.92,4,11,6,1
120.75,0,2,3,0
98.37,9,1,3,0
178.18,2,17,3,1
570.56,3,11,1,1
146.1,0,8,3,1
118.71,17,7,3,0
229.94,11,3,7,0
82.27,8,1,7,0
226.69,14,6,7,0
35.7,12,4,3,0
158.9,13,2,5,0
149.17,14,10,5,0
68.22,9,2,2,0
8.03,18,8,7,0
76.33,-99,9,2,0
203.75,15,9,6,0
49.43,23,2,2,0
214.92,0,3,1,0
65.83,17,1,6,0
159.49,0,13,4,1
17.47,13,9,4,0
236.78,5,12,6,1
156.12,5,2,3,0
176.37,21,2,6,0
74.87,14,6,7,0
-99,5,3,7,0
-99,18,4,2,0
136.6,3,8,3,1
76.46,13,2,6,0
48.15,2,5,7,0
5.02,13,6,5,0
268.33,3,14,6,1
155.87,15,10,7,0
135.03,17,2,3,0
127.52,12,8,4,0
8.17,15,8,4,0
53.47,19,6,5,0
6.56,2,9,7,1
257.14,14,9,5,0
344.36,5,15,7,1
79.48,9,1,6,0
257.12,5,11,3,1
98.97,16,1,5,0
24.44,4,6,7,0
29.56,13,6,5,0
9.43,21,9,5,0
212.91,3,4,5,0
211.84,20,1,3,0
77.47,19,6,2,0
107.19,11,1,3,0
37.92,0,4,2,0
170.3,-99,13,6,1
279.05,2,19,5,1
269.18,1,2,3,0
119.37,2,12,2,1
152.39,14,9,7,0
176.41,3,15,5,1
98.03,23,3,7,0
413.8,3,5,1,0
347.44,2,15,2,1
106.25,14,7,1,0
144.63,-99,6,6,0
157.2,5,13,2,1
170.95,4,4,7,1
73.88,18,1,4,0
85.48,1,10,4,1
184.28,11,4,-99,0
176.43,16,4,5,0
122.03,10,7,2,0
226.66,0,9,2,1
232.96,-99,10,7,1
163.55,4,9,7,0
67.74,18,4,1,0
68.56,14,7,6,0
40.3,23,10,7,0
141.76,5,6,4,0
130.45,11,4,5,0
22.5,21,7,6,0
129.94,5,12,5,1
242.27,2,10,4,1
123.61,9,8,5,0
82.09,16,10,5,0
79.35,22,5,6,0
221.89,4,1,2,0
96.09,19,6,6,0
107.88,23,3,6,0
232.03,1,10,6,1
110.82,5,8,6,0
110.94,1,12,6,1
81.82,18,-99,3,0
59.96,1,5,5,0
79.04,23,4,6,0
89.62,9,4,6,0
233.08,21,1,7,0
45.8,4,6,7,0
197.91,10,9,4,0
127.55,20,1,4,0
244.91,14,2,6,0
69.3,11,6,2,0
27.33,12,7,6,0
227.89,13,7,2,0
272.62,5,9,5,1
43.18,4,1,5,0
376.33,2,5,4,0
106.06,3,3,7,0
106.34,1,1,4,0
103.06,13,7,4,0
272.25,0,15,3,1
173.15,8,4,1,0
235.49,1,4,3,0
161.58,3,15,1,1
153.65,14,9,4,0
157.44,10,8,5,0
98.46,19,7,6,0
106,22,5,5,0
8.23,20,7,2,0
201.75,5,5,6,1
5.04,11,3,4,0
130.61,16,8,1,0
140.03,0,15,1,1
82.22,23,2,3,0
248.19,4,3,5,0
113.15,21,1,7,0
94.8,19,5,7,0
44.99,19,3,6,0
73.4,6,7,3,0
61.26,5,8,5,0
136.51,10,2,2,0
42.87,20,1,6,0
101.01,10,10,2,0
225.57,22,4,6,0
17.92,8,6,7,0
130.55,14,10,4,0
100,23,8,1,0
134.73,2,12,4,1
86.33,1,1,6,0
80.44,11,6,2,0
222.57,8,4,1,0
39.65,12,1,6,0
167.82,6,8,4,0
27.37,2,4,1,0
7.27,16,6,7,0
30.25,16,8,4,0
77.04,20,10,5,0
34.33,3,7,6,0
138.15,19,-99,7,0
44.88,19,2,1,0
2.19,15,1,3,0
22.44,4,4,2,0
174.38,1,15,4,1
162.36,10,7,1,0
54.21,13,3,1,0
43.82,11,1,3,0
113.62,11,4,7,0
202.15,20,6,7,0
293.61,20,8,6,0
256.14,19,6,1,0
235.9,21,3,6,0
86.48,13,7,1,0
71.71,23,3,2,0
93.81,14,7,1,0
29.47,14,9,2,0
210.74,7,7,5,0
139.31,4,16,5,1
111.85,1,4,3,0
187.82,3,9,6,0
92.01,3,10,6,0
159.01,15,8,1,0
44.53,4,6,1,0
38.43,8,2,3,0
31.1,1,4,3,0
246.09,1,5,2,1
14.44,23,3,6,0
179.69,12,5,3,0
146.42,3,7,6,0
52.54,12,3,7,0
320.84,2,13,4,1
44.71,20,2,4,0
70.51,9,4,1,0
112.5,6,5,2,0
110.91,18,5,7,0
11.98,5,10,2,0
103.83,1,13,5,1
277.86,2,5,4,0
180,20,10,1,0
34.2,10,3,7,0
110.79,13,6,1,0
48.27,17,5,5,0
46.51,3,13,7,1
293.09,10,9,5,0
46.73,4,3,3,0
192.25,19,5,1,0
3.67,0,2,5,0
127.97,22,6,6,0
47.69,13,8,3,0
154.63,21,1,5,0
170.53,14,2,4,0
238.2,1,14,1,1
61.93,1,-99,7,1
6.79,12,6,3,0
158.87,23,7,3,0
150.89,1,11,6,1
155.64,2,13,4,1
200.04,0,10,4,1
137.6,18,7,5,0
74.87,19,1,2,0
149.69,10,9,4,0
109.27,4,8,5,0
96.43,1,7,4,0
59.89,4,8,5,0
59.17,2,10,5,1
29.52,5,10,6,1
189.08,5,7,7,1
130.72,3,8,1,0
142.84,3,10,2,1
121.59,16,8,1,0
76.27,17,5,2,0
266.6,23,3,6,0
77.7,9,8,1,0
37.09,12,4,2,0
185.61,16,9,6,0
172.19,12,2,4,0
-99,7,10,3,0
164.44,2,10,5,0
